Day,Animals,Plants,Free space,Avg lifespan,Avg energy,Avg children count,Most common genome
58,2,61,38,7.6666665,175.0,0.0,77361577
59,2,62,37,7.6666665,178.0,0.0,77361577
60,2,65,34,7.6666665,181.0,0.0,77361577
61,2,66,32,7.6666665,184.0,0.0,77361577
62,2,68,31,7.6666665,183.0,0.0,77361577
63,2,68,31,7.6666665,186.0,0.0,77361577
64,2,68,31,7.6666665,189.0,0.0,77361577
65,2,70,29,7.6666665,192.0,0.0,77361577
66,2,72,28,7.6666665,199.0,0.0,77361577
67,2,73,27,7.6666665,206.0,0.0,77361577
68,2,74,26,7.6666665,213.0,0.0,77361577
69,2,74,26,7.6666665,220.0,0.0,77361577
70,2,76,24,7.6666665,227.0,0.0,77361577
71,2,76,23,7.6666665,234.0,0.0,77361577
72,2,76,22,7.6666665,233.0,0.0,77361577
73,2,76,22,7.6666665,236.0,0.0,77361577
74,2,76,22,7.6666665,239.0,0.0,77361577
75,2,75,23,7.6666665,242.0,0.0,77361577
76,2,76,22,7.6666665,241.0,0.0,77361577
77,2,74,24,7.6666665,248.0,0.0,77361577
78,2,74,24,7.6666665,251.0,0.0,77361577
79,2,74,25,7.6666665,258.0,0.0,77361577
80,2,73,26,7.6666665,265.0,0.0,77361577
81,2,73,27,7.6666665,272.0,0.0,77361577
82,2,74,26,7.6666665,279.0,0.0,77361577
83,2,76,23,7.6666665,286.0,0.0,77361577
84,2,77,23,7.6666665,293.0,0.0,77361577
85,2,77,23,7.6666665,300.0,0.0,77361577
86,2,77,22,7.6666665,307.0,0.0,77361577
87,2,78,22,7.6666665,314.0,0.0,77361577
88,2,80,19,7.6666665,321.0,0.0,77361577
89,2,80,20,7.6666665,328.0,0.0,77361577
90,2,80,19,7.6666665,335.0,0.0,77361577
91,2,80,19,7.6666665,342.0,0.0,77361577
92,2,80,19,7.6666665,349.0,0.0,77361577
93,2,81,18,7.6666665,352.0,0.0,77361577
94,2,80,19,7.6666665,359.0,0.0,77361577
95,2,81,18,7.6666665,366.0,0.0,77361577
96,2,82,16,7.6666665,369.0,0.0,77361577
97,2,83,16,7.6666665,372.0,0.0,77361577
98,2,82,16,7.6666665,375.0,0.0,77361577
99,2,82,16,7.6666665,382.0,0.0,77361577
100,2,81,17,7.6666665,389.0,0.0,77361577
101,2,83,15,7.6666665,392.0,0.0,77361577
102,2,83,16,7.6666665,395.0,0.0,77361577
103,2,84,16,7.6666665,402.0,0.0,77361577
104,2,85,15,7.6666665,409.0,0.0,77361577
105,2,85,14,7.6666665,416.0,0.0,77361577
106,2,84,15,7.6666665,423.0,0.0,77361577
107,2,83,15,7.6666665,430.0,0.0,77361577
108,2,83,15,7.6666665,433.0,0.0,77361577
109,2,83,16,7.6666665,440.0,0.0,77361577
110,2,82,17,7.6666665,447.0,0.0,77361577
111,2,81,18,7.6666665,454.0,0.0,77361577
112,2,80,19,7.6666665,461.0,0.0,77361577
113,2,80,18,7.6666665,464.0,0.0,77361577
114,2,81,17,7.6666665,463.0,0.0,77361577
115,2,83,15,7.6666665,462.0,0.0,77361577
116,2,83,15,7.6666665,461.0,0.0,77361577
117,2,82,16,7.6666665,468.0,0.0,77361577
118,2,84,15,7.6666665,471.0,0.0,77361577
119,2,85,14,7.6666665,474.0,0.0,77361577
120,2,84,14,7.6666665,477.0,0.0,77361577
121,2,85,14,7.6666665,480.0,0.0,77361577
122,2,86,13,7.6666665,483.0,0.0,77361577
123,2,86,13,7.6666665,486.0,0.0,77361577
124,2,88,11,7.6666665,489.0,0.0,77361577
125,2,88,10,7.6666665,492.0,0.0,77361577
126,2,88,10,7.6666665,495.0,0.0,77361577
127,2,88,11,7.6666665,502.0,0.0,77361577
128,2,90,9,7.6666665,509.0,0.0,77361577
129,2,91,8,7.6666665,516.0,0.0,77361577
130,2,92,8,7.6666665,523.0,0.0,77361577
131,2,92,8,7.6666665,530.0,0.0,77361577
132,2,93,7,7.6666665,537.0,0.0,77361577
133,2,95,5,7.6666665,544.0,0.0,77361577
134,2,95,5,7.6666665,551.0,0.0,77361577
135,2,96,3,7.6666665,558.0,0.0,77361577
136,2,95,3,7.6666665,565.0,0.0,77361577
137,2,94,4,7.6666665,572.0,0.0,77361577
138,2,94,5,7.6666665,575.0,0.0,77361577
139,2,92,6,7.6666665,582.0,0.0,77361577
140,2,93,5,7.6666665,585.0,0.0,77361577
141,2,94,5,7.6666665,592.0,0.0,77361577
142,2,92,6,7.6666665,599.0,0.0,77361577
143,2,93,6,7.6666665,606.0,0.0,77361577
144,2,92,7,7.6666665,613.0,0.0,77361577
145,2,92,8,7.6666665,620.0,0.0,77361577
146,2,94,6,7.6666665,627.0,0.0,77361577
147,2,94,6,7.6666665,634.0,0.0,77361577
148,2,95,5,7.6666665,641.0,0.0,77361577
149,2,96,4,7.6666665,648.0,0.0,77361577
150,2,97,3,7.6666665,655.0,0.0,77361577
151,2,98,2,7.6666665,662.0,0.0,77361577
152,2,98,1,7.6666665,669.0,0.0,77361577
153,2,99,1,7.6666665,676.0,0.0,77361577
154,2,99,1,7.6666665,683.0,0.0,77361577
155,2,100,0,7.6666665,690.0,0.0,77361577
156,2,99,0,7.6666665,697.0,0.0,77361577
157,2,98,1,7.6666665,704.0,0.0,77361577
158,2,97,2,7.6666665,711.0,0.0,77361577
159,2,97,2,7.6666665,718.0,0.0,77361577
160,2,97,1,7.6666665,721.0,0.0,77361577
161,2,99,1,7.6666665,728.0,0.0,77361577
162,2,97,1,7.6666665,735.0,0.0,77361577
163,2,96,3,7.6666665,742.0,0.0,77361577
164,2,94,4,7.6666665,749.0,0.0,77361577
165,2,94,4,7.6666665,756.0,0.0,77361577
166,2,94,5,7.6666665,763.0,0.0,77361577
167,2,97,3,7.6666665,770.0,0.0,77361577
168,2,98,2,7.6666665,777.0,0.0,77361577
169,2,99,0,7.6666665,784.0,0.0,77361577
170,2,99,1,7.6666665,791.0,0.0,77361577
171,2,100,0,7.6666665,798.0,0.0,77361577
172,2,98,0,7.6666665,805.0,0.0,77361577
173,2,97,2,7.6666665,812.0,0.0,77361577
174,2,97,2,7.6666665,819.0,0.0,77361577
175,2,97,2,7.6666665,826.0,0.0,77361577
176,2,96,3,7.6666665,833.0,0.0,77361577
177,2,96,2,7.6666665,836.0,0.0,77361577
178,2,96,3,7.6666665,843.0,0.0,77361577
179,2,97,2,7.6666665,846.0,0.0,77361577
180,2,95,3,7.6666665,853.0,0.0,77361577
181,2,93,5,7.6666665,860.0,0.0,77361577
182,2,93,6,7.6666665,863.0,0.0,77361577
183,2,93,6,7.6666665,866.0,0.0,77361577
184,2,93,5,7.6666665,869.0,0.0,77361577
185,2,93,6,7.6666665,872.0,0.0,77361577
186,2,94,5,7.6666665,875.0,0.0,77361577
187,2,96,3,7.6666665,878.0,0.0,77361577
188,2,96,3,7.6666665,881.0,0.0,77361577
189,2,95,3,7.6666665,888.0,0.0,77361577
190,2,97,2,7.6666665,891.0,0.0,77361577
191,2,97,2,7.6666665,898.0,0.0,77361577
192,2,97,3,7.6666665,905.0,0.0,77361577
193,2,96,3,7.6666665,912.0,0.0,77361577
194,2,97,3,7.6666665,919.0,0.0,77361577
195,2,97,3,7.6666665,926.0,0.0,77361577
196,2,99,1,7.6666665,933.0,0.0,77361577
197,2,99,1,7.6666665,940.0,0.0,77361577
198,2,99,1,7.6666665,947.0,0.0,77361577
199,2,100,0,7.6666665,954.0,0.0,77361577
200,2,100,0,7.6666665,961.0,0.0,77361577
201,2,98,0,7.6666665,968.0,0.0,77361577
202,2,98,1,7.6666665,971.0,0.0,77361577
203,2,98,0,7.6666665,978.0,0.0,77361577
204,2,98,1,7.6666665,985.0,0.0,77361577
205,2,97,1,7.6666665,992.0,0.0,77361577
206,2,95,3,7.6666665,999.0,0.0,77361577
207,2,94,5,7.6666665,1006.0,0.0,77361577
208,2,94,5,7.6666665,1013.0,0.0,77361577
209,2,94,6,7.6666665,1020.0,0.0,77361577
210,2,96,4,7.6666665,1027.0,0.0,77361577
211,2,96,4,7.6666665,1034.0,0.0,77361577
212,2,96,4,7.6666665,1041.0,0.0,77361577
213,2,98,2,7.6666665,1048.0,0.0,77361577
214,2,99,1,7.6666665,1055.0,0.0,77361577
215,2,99,1,7.6666665,1062.0,0.0,77361577
216,2,100,0,7.6666665,1069.0,0.0,77361577
217,2,100,0,7.6666665,1076.0,0.0,77361577
218,2,100,0,7.6666665,1083.0,0.0,77361577
219,2,100,0,7.6666665,1090.0,0.0,77361577
220,2,100,0,7.6666665,1097.0,0.0,77361577
221,2,99,0,7.6666665,1104.0,0.0,77361577
222,2,99,0,7.6666665,1111.0,0.0,77361577
223,2,100,0,7.6666665,1118.0,0.0,77361577
224,2,100,0,7.6666665,1125.0,0.0,77361577
225,2,99,0,7.6666665,1132.0,0.0,77361577
226,2,99,0,7.6666665,1139.0,0.0,77361577
227,2,98,1,7.6666665,1146.0,0.0,77361577
228,2,96,2,7.6666665,1153.0,0.0,77361577
229,2,94,4,7.6666665,1160.0,0.0,77361577
230,2,94,6,7.6666665,1167.0,0.0,77361577
231,2,97,3,7.6666665,1174.0,0.0,77361577
232,2,98,2,7.6666665,1181.0,0.0,77361577
233,2,97,2,7.6666665,1188.0,0.0,77361577
234,2,96,3,7.6666665,1195.0,0.0,77361577
235,2,95,3,7.6666665,1202.0,0.0,77361577
236,2,95,3,7.6666665,1209.0,0.0,77361577
237,2,96,3,7.6666665,1216.0,0.0,77361577
238,2,96,3,7.6666665,1223.0,0.0,77361577
239,2,97,3,7.6666665,1230.0,0.0,77361577
240,2,96,3,7.6666665,1237.0,0.0,77361577
241,2,96,2,7.6666665,1240.0,0.0,77361577
242,2,95,3,7.6666665,1247.0,0.0,77361577
243,2,95,3,7.6666665,1250.0,0.0,77361577
244,2,95,3,7.6666665,1253.0,0.0,77361577
245,2,93,5,7.6666665,1260.0,0.0,77361577
246,2,94,5,7.6666665,1263.0,0.0,77361577
247,2,95,4,7.6666665,1266.0,0.0,77361577
248,2,96,3,7.6666665,1269.0,0.0,77361577
249,2,98,2,7.6666665,1276.0,0.0,77361577
250,2,98,1,7.6666665,1283.0,0.0,77361577
251,2,99,0,7.6666665,1286.0,0.0,77361577
252,2,100,0,7.6666665,1289.0,0.0,77361577
253,2,98,0,7.6666665,1296.0,0.0,77361577
254,2,97,2,7.6666665,1303.0,0.0,77361577
255,2,98,1,7.6666665,1310.0,0.0,77361577
256,2,97,2,7.6666665,1317.0,0.0,77361577
257,2,97,2,7.6666665,1324.0,0.0,77361577
258,2,97,3,7.6666665,1331.0,0.0,77361577
259,2,99,1,7.6666665,1338.0,0.0,77361577
260,2,100,0,7.6666665,1345.0,0.0,77361577
261,2,100,0,7.6666665,1352.0,0.0,77361577
262,2,100,0,7.6666665,1359.0,0.0,77361577
263,2,100,0,7.6666665,1366.0,0.0,77361577
264,2,99,0,7.6666665,1373.0,0.0,77361577
265,2,99,0,7.6666665,1380.0,0.0,77361577
266,2,98,0,7.6666665,1383.0,0.0,77361577
267,2,96,2,7.6666665,1390.0,0.0,77361577
268,2,95,3,7.6666665,1397.0,0.0,77361577
269,2,93,5,7.6666665,1404.0,0.0,77361577
270,2,91,7,7.6666665,1411.0,0.0,77361577
271,2,94,5,7.6666665,1418.0,0.0,77361577
272,2,94,5,7.6666665,1425.0,0.0,77361577
273,2,95,5,7.6666665,1432.0,0.0,77361577
274,2,95,5,7.6666665,1439.0,0.0,77361577
275,2,96,4,7.6666665,1446.0,0.0,77361577
276,2,96,4,7.6666665,1453.0,0.0,77361577
277,2,97,3,7.6666665,1460.0,0.0,77361577
278,2,97,2,7.6666665,1467.0,0.0,77361577
279,2,98,2,7.6666665,1474.0,0.0,77361577
280,2,100,0,7.6666665,1481.0,0.0,77361577
281,2,100,0,7.6666665,1488.0,0.0,77361577
282,2,100,0,7.6666665,1495.0,0.0,77361577
