Day,Animals,Plants,Free space,Avg lifespan,Avg energy,Avg children count,Most common genome
1,20,8,77,0.0,4.0,0.0,30044213
2,20,12,72,0.0,3.4,0.0,30044213
3,20,15,70,0.0,3.2,0.0,30044213
4,20,18,66,0.0,3.0,0.0,30044213
5,20,20,62,0.0,3.2,0.0,30044213
6,7,24,71,5.0,9.285714,0.0,07637170
7,7,26,68,5.0,9.428572,0.0,07637170
8,7,26,68,5.0,9.571428,0.0,07637170
9,7,27,66,5.0,8.571428,0.0,07637170
10,7,28,65,5.0,7.571429,0.0,07637170
11,7,28,66,5.0,6.571429,0.0,07637170
12,7,29,65,5.0,6.714286,0.0,07637170
13,7,30,63,5.0,5.714286,0.0,07637170
14,3,31,66,6.882353,12.333333,0.0,77361577
15,3,33,65,6.882353,14.0,0.0,77361577
16,3,33,65,6.882353,15.666667,0.0,77361577
17,3,34,65,6.882353,20.0,0.0,77361577
18,3,34,65,6.882353,24.333334,0.0,77361577
19,3,34,64,6.882353,26.0,0.0,77361577
20,3,36,62,6.882353,27.666666,0.0,77361577
21,3,39,60,6.882353,32.0,0.0,77361577
22,2,40,59,7.6666665,51.0,0.0,77361577
23,2,41,58,7.6666665,54.0,0.0,77361577
24,2,43,56,7.6666665,57.0,0.0,77361577
25,2,44,55,7.6666665,60.0,0.0,77361577
26,2,46,53,7.6666665,63.0,0.0,77361577
27,2,48,51,7.6666665,66.0,0.0,77361577
28,2,47,52,7.6666665,73.0,0.0,77361577
29,2,50,49,7.6666665,80.0,0.0,77361577
30,2,50,49,7.6666665,83.0,0.0,77361577
31,2,52,47,7.6666665,86.0,0.0,77361577
32,2,54,45,7.6666665,89.0,0.0,77361577
33,2,55,44,7.6666665,92.0,0.0,77361577
34,2,55,43,7.6666665,91.0,0.0,77361577
35,2,55,43,7.6666665,90.0,0.0,77361577
36,2,56,42,7.6666665,89.0,0.0,77361577
37,2,57,41,7.6666665,96.0,0.0,77361577
38,2,57,42,7.6666665,103.0,0.0,77361577
39,2,57,43,7.6666665,110.0,0.0,77361577
40,2,57,43,7.6666665,117.0,0.0,77361577
41,2,57,42,7.6666665,120.0,0.0,77361577
42,2,58,41,7.6666665,123.0,0.0,77361577
43,2,58,40,7.6666665,126.0,0.0,77361577
44,2,58,40,7.6666665,133.0,0.0,77361577
45,2,57,42,7.6666665,140.0,0.0,77361577
46,2,57,42,7.6666665,143.0,0.0,77361577
47,2,57,42,7.6666665,146.0,0.0,77361577
48,2,58,41,7.6666665,153.0,0.0,77361577
49,2,58,40,7.6666665,152.0,0.0,77361577
50,2,61,37,7.6666665,151.0,0.0,77361577
51,2,59,39,7.6666665,158.0,0.0,77361577
52,2,60,38,7.6666665,157.0,0.0,77361577
53,2,58,40,7.6666665,164.0,0.0,77361577
54,2,58,41,7.6666665,167.0,0.0,77361577
55,2,59,40,7.6666665,170.0,0.0,77361577
56,2,60,38,7.6666665,169.0,0.0,77361577
57,2,61,38,7.6666665,172.0,0.0,77361577
