Day,Animals,Plants,Free space,Avg lifespan,Avg energy,Avg children count,Most common genome
1,20,6,80,0.0,4.8,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
2,20,10,74,0.0,4.2,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
3,20,13,70,0.0,3.6,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
4,20,13,73,0.0,4.6,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
5,20,13,74,0.0,5.2,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
6,9,15,78,5.0,11.444445,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
7,9,16,77,5.0,12.222222,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
8,9,16,79,5.0,14.777778,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
9,9,18,76,5.0,15.555555,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
10,9,19,73,5.0,14.555555,0.0,[5, 3, 6, 4, 5, 1, 5, 0]
11,10,20,72,5.0,12.2,0.18181819,[5, 3, 6, 4, 5, 1, 5, 0]
12,10,19,75,5.0,13.6,0.18181819,[5, 3, 6, 4, 5, 1, 5, 0]
13,10,20,72,5.0,13.4,0.18181819,[5, 3, 6, 4, 5, 1, 5, 0]
14,7,22,72,6.714286,18.142857,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
15,7,22,73,6.714286,18.285715,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
16,7,24,72,6.714286,19.571428,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
17,7,26,68,6.714286,19.714285,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
18,7,25,70,6.714286,22.142857,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
19,7,27,66,6.714286,21.142857,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
20,7,28,66,6.714286,22.428572,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
21,7,26,69,6.714286,26.0,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
22,7,25,70,6.714286,28.428572,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
23,7,25,69,6.714286,29.714285,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
24,7,25,70,6.714286,31.0,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
25,7,25,71,6.714286,34.57143,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
26,7,25,69,6.714286,34.714287,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
27,7,23,71,6.714286,37.142857,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
28,7,23,72,6.714286,39.57143,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
29,7,24,70,6.714286,39.714287,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
30,7,25,68,6.714286,39.857143,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
31,7,24,71,6.714286,43.42857,0.14285715,[5, 3, 6, 4, 5, 1, 5, 0]
32,8,24,72,6.714286,39.125,0.2857143,[5, 3, 6, 4, 5, 1, 5, 0]
33,8,24,71,6.714286,42.125,0.2857143,[5, 3, 6, 4, 5, 1, 5, 0]
34,9,23,71,6.714286,38.333332,0.42857143,[5, 3, 6, 4, 5, 1, 5, 0]
35,9,23,69,6.714286,38.22222,0.42857143,[5, 3, 6, 4, 5, 1, 5, 0]
36,9,22,71,6.714286,40.77778,0.42857143,[5, 3, 6, 4, 5, 1, 5, 0]
37,10,22,72,6.714286,38.2,0.5714286,[5, 3, 6, 4, 5, 1, 5, 0]
38,10,24,67,6.714286,38.0,0.5714286,[5, 3, 6, 4, 5, 1, 5, 0]
39,10,24,68,6.714286,39.4,0.5714286,[5, 3, 6, 4, 5, 1, 5, 0]
40,10,25,67,6.714286,41.6,0.5714286,[5, 3, 6, 4, 5, 1, 5, 0]
41,10,24,68,6.714286,43.8,0.5714286,[5, 3, 6, 4, 5, 1, 5, 0]
42,10,22,68,6.714286,44.4,0.5714286,[5, 3, 6, 4, 5, 1, 5, 0]
43,10,21,69,6.714286,44.2,0.5714286,[5, 3, 6, 4, 5, 1, 5, 0]
44,10,22,71,6.714286,44.8,0.5714286,[5, 3, 6, 4, 5, 1, 5, 0]
45,11,23,70,6.714286,41.272728,0.71428573,[5, 3, 6, 4, 5, 1, 5, 0]
46,12,24,68,6.714286,38.25,0.85714287,[5, 3, 6, 4, 5, 1, 5, 0]
47,12,24,67,6.714286,39.25,0.85714287,[5, 3, 6, 4, 5, 1, 5, 0]
48,13,23,71,6.714286,38.384617,1.0,[5, 3, 6, 4, 5, 1, 5, 0]
49,14,24,68,7.3333335,35.92857,1.0666667,[5, 3, 6, 4, 5, 1, 5, 0]
50,15,24,66,7.3333335,34.733334,1.2,[5, 3, 6, 4, 5, 1, 5, 0]
51,15,23,66,7.3333335,35.866665,1.2,[5, 3, 6, 4, 5, 1, 5, 0]
52,17,25,64,7.3333335,31.705883,1.4666667,[5, 3, 6, 4, 5, 1, 5, 0]
53,20,25,64,7.3333335,28.1,1.8666667,[5, 3, 6, 4, 5, 1, 5, 0]
54,21,24,61,7.875,28.142857,1.9375,[5, 3, 6, 4, 5, 1, 5, 0]
55,21,27,56,7.882353,27.571428,1.882353,[5, 3, 6, 4, 5, 1, 5, 0]
56,23,27,58,7.882353,26.0,2.1176472,[5, 3, 6, 4, 5, 1, 5, 0]
57,24,25,58,7.882353,26.291666,2.235294,[5, 3, 6, 4, 5, 1, 5, 0]
